commodity_group,year,fob_value,exporters
Sea cucumbers, prepared or preserved,2018,244647000,World
Sea cucumbers, prepared or preserved,2019,229808000,World
Sea cucumbers, prepared or preserved,2020,204820000,World
Sea cucumbers, prepared or preserved,2021,193836000,World
Sea cucumbers, prepared or preserved,2022,223515000,World
Sea cucumbers, prepared or preserved,2018,190867000,Japan
Sea cucumbers, prepared or preserved,2019,190617000,Japan
Sea cucumbers, prepared or preserved,2020,170428000,Japan
Sea cucumbers, prepared or preserved,2021,141436000,Japan
Sea cucumbers, prepared or preserved,2022,140975000,Japan
Sea cucumbers, prepared or preserved,2018,4200000,Republic of Korea
Sea cucumbers, prepared or preserved,2019,3461000,Republic of Korea
Sea cucumbers, prepared or preserved,2020,8286000,Republic of Korea
Sea cucumbers, prepared or preserved,2021,20342000,Republic of Korea
Sea cucumbers, prepared or preserved,2022,30921000,Republic of Korea
Sea cucumbers, prepared or preserved,2018,25000,Malaysia
Sea cucumbers, prepared or preserved,2019,199000,Malaysia
Sea cucumbers, prepared or preserved,2020,345000,Malaysia
Sea cucumbers, prepared or preserved,2021,451000,Malaysia
Sea cucumbers, prepared or preserved,2022,11672000,Malaysia
Sea cucumbers, prepared or preserved,2018,5467000,Indonesia
Sea cucumbers, prepared or preserved,2019,1895000,Indonesia
Sea cucumbers, prepared or preserved,2020,1885000,Indonesia
Sea cucumbers, prepared or preserved,2021,5207000,Indonesia
Sea cucumbers, prepared or preserved,2022,10640000,Indonesia
Sea cucumbers, prepared or preserved,2018,2479000,Russia
Sea cucumbers, prepared or preserved,2019,2211000,Russia
Sea cucumbers, prepared or preserved,2020,3124000,Russia
Sea cucumbers, prepared or preserved,2021,4359000,Russia
Sea cucumbers, prepared or preserved,2022,7385000,Russia
Sea cucumbers, prepared or preserved,2018,2082000,Canada
Sea cucumbers, prepared or preserved,2019,952000,Canada
Sea cucumbers, prepared or preserved,2020,2237000,Canada
Sea cucumbers, prepared or preserved,2021,1366000,Canada
Sea cucumbers, prepared or preserved,2022,6565000,Canada
Sea cucumbers, prepared or preserved,2018,277000,Fiji
Sea cucumbers, prepared or preserved,2019,0,Fiji
Sea cucumbers, prepared or preserved,2020,0,Fiji
Sea cucumbers, prepared or preserved,2021,0,Fiji
Sea cucumbers, prepared or preserved,2022,3780000,Fiji
Sea cucumbers, prepared or preserved,2018,2319000,Vietnam
Sea cucumbers, prepared or preserved,2019,1208000,Vietnam
Sea cucumbers, prepared or preserved,2020,2106000,Vietnam
Sea cucumbers, prepared or preserved,2021,2525000,Vietnam
Sea cucumbers, prepared or preserved,2022,3775000,Vietnam
Sea cucumbers, prepared or preserved,2018,0,Ecuador
Sea cucumbers, prepared or preserved,2019,0,Ecuador
Sea cucumbers, prepared or preserved,2020,0,Ecuador
Sea cucumbers, prepared or preserved,2021,619000,Ecuador
Sea cucumbers, prepared or preserved,2022,2201000,Ecuador
Sea cucumbers, prepared or preserved,2018,467000,United States of America
Sea cucumbers, prepared or preserved,2019,42000,United States of America
Sea cucumbers, prepared or preserved,2020,31000,United States of America
Sea cucumbers, prepared or preserved,2021,620000,United States of America
Sea cucumbers, prepared or preserved,2022,1084000,United States of America
Sea cucumbers, prepared or preserved,2018,11590000,China
Sea cucumbers, prepared or preserved,2019,14752000,China
Sea cucumbers, prepared or preserved,2020,11966000,China
Sea cucumbers, prepared or preserved,2021,13074000,China
Sea cucumbers, prepared or preserved,2022,825000,China
Sea cucumbers, prepared or preserved,2018,710000,Philippines
Sea cucumbers, prepared or preserved,2019,743000,Philippines
Sea cucumbers, prepared or preserved,2020,14000,Philippines
Sea cucumbers, prepared or preserved,2021,363000,Philippines
Sea cucumbers, prepared or preserved,2022,599000,Philippines
Sea cucumbers, prepared or preserved,2018,2271000,Honduras
Sea cucumbers, prepared or preserved,2019,1091000,Honduras
Sea cucumbers, prepared or preserved,2020,1346000,Honduras
Sea cucumbers, prepared or preserved,2021,53000,Honduras
Sea cucumbers, prepared or preserved,2022,522000,Honduras
Sea cucumbers, prepared or preserved,2018,229000,Haiti
Sea cucumbers, prepared or preserved,2019,141000,Haiti
Sea cucumbers, prepared or preserved,2020,,Haiti
