"provinsi","kabupaten_kota","jumlah_jenis_teripang"
"Aceh","Sabang","1"
"Sumatera Utara","Nias Utara","5"
"Sumatera Barat","Mentawai","1"
"Kepulauan Riau","Bintan","6"
"Kepulauan Riau","Batam","3"
"Kepulauan Riau","Lingga","1"
"Lampung","Lampung","8"
"Kepulauan Bangka Belitung","Belitung","2"
"Jawa Tengah","Karimun Jawa","22"
"Jawa Timur","","15"
"Nusa Tenggara Barat","Sekotong","13"
"Nusa Tenggara Barat","Sumbawa","19"
"Kalimantan Timur","Derawan","19"
"Sulawesi Selatan","Spermonde","4"
"Sulawesi Selatan","Selayar","6"
"Nusa Tenggara Barat","Sumbawa","5"
"Sulawesi Tenggara","Kendari","6"
"Sulawesi Tenggara","Wakatobi","5"
"Sulawesi Tenggara","Buton","10"
"Maluku Utara","Ternate","3"
"Maluku","Seram","18"
"Maluku","Ambon","18"
"Papua Barat","Raja Ampat","7"
"Papua Barat","Kaimana","20"
"Papua","Biak","16"
