commodity_group,year,fob_value,importers
Sea cucumbers, prepared or preserved,2018,55154000,World
Sea cucumbers, prepared or preserved,2019,62066000,World
Sea cucumbers, prepared or preserved,2020,71021000,World
Sea cucumbers, prepared or preserved,2021,95860000,World
Sea cucumbers, prepared or preserved,2022,144508000,World
Sea cucumbers, prepared or preserved,2018,5764000,China
Sea cucumbers, prepared or preserved,2019,14998000,China
Sea cucumbers, prepared or preserved,2020,28626000,China
Sea cucumbers, prepared or preserved,2021,63252000,China
Sea cucumbers, prepared or preserved,2022,114814000,China
Sea cucumbers, prepared or preserved,2018,12309000,Republic of Korea
Sea cucumbers, prepared or preserved,2019,10965000,Republic of Korea
Sea cucumbers, prepared or preserved,2020,10770000,Republic of Korea
Sea cucumbers, prepared or preserved,2021,11886000,Republic of Korea
Sea cucumbers, prepared or preserved,2022,23280000,Republic of Korea
Sea cucumbers, prepared or preserved,2018,2836000,United States of America
Sea cucumbers, prepared or preserved,2019,2155000,United States of America
Sea cucumbers, prepared or preserved,2020,702000,United States of America
Sea cucumbers, prepared or preserved,2021,1285000,United States of America
Sea cucumbers, prepared or preserved,2022,2274000,United States of America
Sea cucumbers, prepared or preserved,2018,32000,Malaysia
Sea cucumbers, prepared or preserved,2019,141000,Malaysia
Sea cucumbers, prepared or preserved,2020,55000,Malaysia
Sea cucumbers, prepared or preserved,2021,206000,Malaysia
Sea cucumbers, prepared or preserved,2022,825000,Malaysia
Sea cucumbers, prepared or preserved,2018,1000,Indonesia
Sea cucumbers, prepared or preserved,2019,0,Indonesia
Sea cucumbers, prepared or preserved,2020,0,Indonesia
Sea cucumbers, prepared or preserved,2021,323000,Indonesia
Sea cucumbers, prepared or preserved,2022,657000,Indonesia
Sea cucumbers, prepared or preserved,2018,28436000,Hongkong
Sea cucumbers, prepared or preserved,2019,28411000,Hongkong
Sea cucumbers, prepared or preserved,2020,29645000,Hongkong
Sea cucumbers, prepared or preserved,2021,16502000,Hongkong
Sea cucumbers, prepared or preserved,2022,539000,Hongkong
Sea cucumbers, prepared or preserved,2018,787000,Singapore
Sea cucumbers, prepared or preserved,2019,520000,Singapore
Sea cucumbers, prepared or preserved,2020,192000,Singapore
Sea cucumbers, prepared or preserved,2021,277000,Singapore
Sea cucumbers, prepared or preserved,2022,496000,Singapore
Sea cucumbers, prepared or preserved,2018,530000,Australia
Sea cucumbers, prepared or preserved,2019,112000,Australia
Sea cucumbers, prepared or preserved,2020,216000,Australia
Sea cucumbers, prepared or preserved,2021,1026000,Australia
Sea cucumbers, prepared or preserved,2022,388000,Australia
Sea cucumbers, prepared or preserved,2018,260000,Belgium
Sea cucumbers, prepared or preserved,2019,243000,Belgium
Sea cucumbers, prepared or preserved,2020,191000,Belgium
Sea cucumbers, prepared or preserved,2021,268000,Belgium
Sea cucumbers, prepared or preserved,2022,345000,Belgium
Sea cucumbers, prepared or preserved,2018,0,Italy
Sea cucumbers, prepared or preserved,2019,0,Italy
Sea cucumbers, prepared or preserved,2020,0,Italy
Sea cucumbers, prepared or preserved,2021,77000,Italy
Sea cucumbers, prepared or preserved,2022,187000,Italy
Sea cucumbers, prepared or preserved,2018,129000,New Zealand
Sea cucumbers, prepared or preserved,2019,72000,New Zealand
Sea cucumbers, prepared or preserved,2020,44000,New Zealand
Sea cucumbers, prepared or preserved,2021,242000,New Zealand
Sea cucumbers, prepared or preserved,2022,133000,New Zealand
Sea cucumbers, prepared or preserved,2018,38000,France
Sea cucumbers, prepared or preserved,2019,47000,France
Sea cucumbers, prepared or preserved,2020,61000,France
Sea cucumbers, prepared or preserved,2021,135000,France
Sea cucumbers, prepared or preserved,2022,127000,France
Sea cucumbers, prepared or preserved,2018,289000,Japan
Sea cucumbers, prepared or preserved,2019,165000,Japan
Sea cucumbers, prepared or preserved,2020,302000,Japan
Sea cucumbers, prepared or preserved,2021,103000,Japan
Sea cucumbers, prepared or preserved,2022,120000,Japan
Sea cucumbers, prepared or preserved,2018,10000,Canada
Sea cucumbers, prepared or preserved,2019,4000,Canada
Sea cucumbers, prepared or preserved,2020,83000,Canada
Sea cucumbers, prepared or preserved,2021,103000,Canada
Sea cucumbers, prepared or preserved,2022,111000,Canada
Sea cucumbers, prepared or preserved,2018,0,Macao
Sea cucumbers, prepared or preserved,2019,0,Macao
Sea cucumbers, prepared or preserved,2020,0,Macao
Sea cucumbers, prepared or preserved,2021,0,Macao
Sea cucumbers, prepared or preserved,2022,69000,Macao
Sea cucumbers, prepared or preserved,2018,4000,Brunei Darussalam
Sea cucumbers, prepared or preserved,2019,0,Brunei Darussalam
Sea cucumbers, prepared or preserved,2020,0,Brunei Darussalam
Sea cucumbers, prepared or preserved,2021,4000,Brunei Darussalam
Sea cucumbers, prepared or preserved,2022,36000,Brunei Darussalam
Sea cucumbers, prepared or preserved,2018,25000,Portugal
Sea cucumbers, prepared or preserved,2019,28000,Portugal
Sea cucumbers, prepared or preserved,2020,27000,Portugal
Sea cucumbers, prepared or preserved,2021,27000,Portugal
Sea cucumbers, prepared or preserved,2022,29000,Portugal
Sea cucumbers, prepared or preserved,2018,,Democratic People's Republic of Korea
Sea cucumbers, prepared or preserved,2019,,Democratic People's Republic of Korea
Sea cucumbers, prepared or preserved,2020,,Democratic People's Republic of Korea
Sea cucumbers, prepared or preserved,2021,,Democratic People's Republic of Korea
Sea cucumbers, prepared or preserved,2022,20000,Democratic People's Republic of Korea
Sea cucumbers, prepared or preserved,2018,0,Mozambique
Sea cucumbers, prepared or preserved,2019,0,Mozambique
Sea cucumbers, prepared or preserved,2020,0,Mozambique
Sea cucumbers, prepared or preserved,2021,29000,Mozambique
Sea cucumbers, prepared or preserved,2022,14000,Mozambique
Sea cucumbers, prepared or preserved,2018,36000,Netherlands
Sea cucumbers, prepared or preserved,2019,0,Netherlands
Sea cucumbers, prepared or preserved,2020,0,Netherlands
Sea cucumbers, prepared or preserved,2021,22000,Netherlands
Sea cucumbers, prepared or preserved,2022,11000,Netherlands
Sea cucumbers, prepared or preserved,2018,18000,Luxembourg
Sea cucumbers, prepared or preserved,2019,12000,Luxembourg
Sea cucumbers, prepared or preserved,2020,12000,Luxembourg
Sea cucumbers, prepared or preserved,2021,11000,Luxembourg
Sea cucumbers, prepared or preserved,2022,9000,Luxembourg
Sea cucumbers, prepared or preserved,2018,33000,Austria
Sea cucumbers, prepared or preserved,2019,38000,Austria
Sea cucumbers, prepared or preserved,2020,39000,Austria
Sea cucumbers, prepared or preserved,2021,21000,Austria
Sea cucumbers, prepared or preserved,2022,9000,Austria
Sea cucumbers, prepared or preserved,2018,0,Germany
Sea cucumbers, prepared or preserved,2019,0,Germany
Sea cucumbers, prepared or preserved,2020,0,Germany
Sea cucumbers, prepared or preserved,2021,22000,Germany
Sea cucumbers, prepared or preserved,2022,5000,Germany
Sea cucumbers, prepared or preserved,2018,0,United Kingdom
Sea cucumbers, prepared or preserved,2019,0,United Kingdom
Sea cucumbers, prepared or preserved,2020,0,United Kingdom
Sea cucumbers, prepared or preserved,2021,2000,United Kingdom
Sea cucumbers, prepared or preserved,2022,4000,United Kingdom
Sea cucumbers, prepared or preserved,2018,0,Bahamas
Sea cucumbers, prepared or preserved,2019,0,Bahamas
Sea cucumbers, prepared or preserved,2020,0,Bahamas
Sea cucumbers, prepared or preserved,2021,0,Bahamas
Sea cucumbers, prepared or preserved,2022,3000,Bahamas
Sea cucumbers, prepared or preserved,2018,0,Côte d'Ivoire
Sea cucumbers, prepared or preserved,2019,0,Côte d'Ivoire
Sea cucumbers, prepared or preserved,2020,0,Côte d'Ivoire
Sea cucumbers, prepared or preserved,2021,0,Côte d'Ivoire
Sea cucumbers, prepared or preserved,2022,1000,Côte d'Ivoire
Sea cucumbers, prepared or preserved,2018,17000,United Arab Emirates
Sea cucumbers, prepared or preserved,2019,1000,United Arab Emirates
Sea cucumbers, prepared or preserved,2020,0,United Arab Emirates
Sea cucumbers, prepared or preserved,2021,0,United Arab Emirates
Sea cucumbers, prepared or preserved,2022,1000,United Arab Emirates
Sea cucumbers, prepared or preserved,2018,0,Zimbabwe
Sea cucumbers, prepared or preserved,2019,0,Zimbabwe
Sea cucumbers, prepared or preserved,2020,0,Zimbabwe
Sea cucumbers, prepared or preserved,2021,0,Zimbabwe
Sea cucumbers, prepared or preserved,2022,1000,Zimbabwe
Sea cucumbers, prepared or preserved,2018,0,Sweden
