"commodity_group","year","net_weight","fob_value","importers"
"Sea cucumbers, prepared or preserved","2014","0","3000","China"
"Sea cucumbers, prepared or preserved","2015","0","1000","China"
"Sea cucumbers, prepared or preserved","2016","0","3000","China"
"Sea cucumbers, prepared or preserved","2017","0","1000","China"
"Sea cucumbers, prepared or preserved","2018","73000","534000","China"
"Sea cucumbers, prepared or preserved","2019","1000","15000","China"
"Sea cucumbers, prepared or preserved","2020","128000","754000","China"
"Sea cucumbers, prepared or preserved","2021","450000","4036000","China"
"Sea cucumbers, prepared or preserved","2022","590000","8864000","China"
"Sea cucumbers, prepared or preserved","2014","7000","302000","Republic of Korea"
"Sea cucumbers, prepared or preserved","2015","0","9000","Republic of Korea"
"Sea cucumbers, prepared or preserved","2016","1000","40000","Republic of Korea"
"Sea cucumbers, prepared or preserved","2017","18000","1443000","Republic of Korea"
"Sea cucumbers, prepared or preserved","2018","24000","1760000","Republic of Korea"
"Sea cucumbers, prepared or preserved","2019","22000","1381000","Republic of Korea"
"Sea cucumbers, prepared or preserved","2020","11000","900000","Republic of Korea"
"Sea cucumbers, prepared or preserved","2021","9000","792000","Republic of Korea"
"Sea cucumbers, prepared or preserved","2022","13000","788000","Republic of Korea"
"Sea cucumbers, prepared or preserved","2014","12000","70000","Malaysia"
"Sea cucumbers, prepared or preserved","2015","4000","28000","Malaysia"
"Sea cucumbers, prepared or preserved","2016","23000","38000","Malaysia"
"Sea cucumbers, prepared or preserved","2017","45000","1421000","Malaysia"
"Sea cucumbers, prepared or preserved","2018","39000","1299000","Malaysia"
"Sea cucumbers, prepared or preserved","2019","4000","51000","Malaysia"
"Sea cucumbers, prepared or preserved","2020","","0","Malaysia"
"Sea cucumbers, prepared or preserved","2021","7000","241000","Malaysia"
"Sea cucumbers, prepared or preserved","2022","12000","587000","Malaysia"
"Sea cucumbers, prepared or preserved","2014","56000","1833000","Hong Kong"
"Sea cucumbers, prepared or preserved","2015","81000","537000","Hong Kong"
"Sea cucumbers, prepared or preserved","2016","122000","493000","Hong Kong"
"Sea cucumbers, prepared or preserved","2017","153000","545000","Hong Kong"
"Sea cucumbers, prepared or preserved","2018","108000","605000","Hong Kong"
"Sea cucumbers, prepared or preserved","2019","25000","177000","Hong Kong"
"Sea cucumbers, prepared or preserved","2020","","0","Hong Kong"
"Sea cucumbers, prepared or preserved","2021","6000","51000","Hong Kong"
"Sea cucumbers, prepared or preserved","2022","24000","180000","Hong Kong"
"Sea cucumbers, prepared or preserved","2014","47000","617000","Singapore"
"Sea cucumbers, prepared or preserved","2015","17000","265000","Singapore"
"Sea cucumbers, prepared or preserved","2016","30000","263000","Singapore"
"Sea cucumbers, prepared or preserved","2017","18000","112000","Singapore"
"Sea cucumbers, prepared or preserved","2018","4000","161000","Singapore"
"Sea cucumbers, prepared or preserved","2019","2000","170000","Singapore"
"Sea cucumbers, prepared or preserved","2020","2000","231000","Singapore"
"Sea cucumbers, prepared or preserved","2021","4000","81000","Singapore"
"Sea cucumbers, prepared or preserved","2022","2000","148000","Singapore"
"Sea cucumbers, prepared or preserved","2014","","0","United States of America"
"Sea cucumbers, prepared or preserved","2015","0","2000","United States of America"
"Sea cucumbers, prepared or preserved","2016","2000","117000","United States of America"
"Sea cucumbers, prepared or preserved","2017","2000","103000","United States of America"
"Sea cucumbers, prepared or preserved","2018","","0","United States of America"
"Sea cucumbers, prepared or preserved","2019","1000","79000","United States of America"
"Sea cucumbers, prepared or preserved","2020","","0","United States of America"
"Sea cucumbers, prepared or preserved","2021","","","United States of America"
"Sea cucumbers, prepared or preserved","2022","0","41000","United States of America"
"Sea cucumbers, prepared or preserved","2014","","0","Australia"
"Sea cucumbers, prepared or preserved","2015","0","34000","Australia"
"Sea cucumbers, prepared or preserved","2016","3000","107000","Australia"
"Sea cucumbers, prepared or preserved","2017","1000","42000","Australia"
"Sea cucumbers, prepared or preserved","2018","0","14000","Australia"
"Sea cucumbers, prepared or preserved","2019","","0","Australia"
"Sea cucumbers, prepared or preserved","2020","","0","Australia"
"Sea cucumbers, prepared or preserved","2021","","","Australia"
"Sea cucumbers, prepared or preserved","2022","0","31000","Australia"
"Sea cucumbers, prepared or preserved","2014","","0","Canada"
"Sea cucumbers, prepared or preserved","2015","","0","Canada"
"Sea cucumbers, prepared or preserved","2016","0","1000","Canada"
"Sea cucumbers, prepared or preserved","2017","","0","Canada"
"Sea cucumbers, prepared or preserved","2018","","0","Canada"
"Sea cucumbers, prepared or preserved","2019","","0","Canada"
"Sea cucumbers, prepared or preserved","2020","","0","Canada"
"Sea cucumbers, prepared or preserved","2021","","","Canada"
"Sea cucumbers, prepared or preserved","2022","","","Canada"
"Sea cucumbers, prepared or preserved","2014","","0","Sri Lanka"
"Sea cucumbers, prepared or preserved","2015","0","21000","Sri Lanka"
