"lokasi_pendaratan","provinsi","kabupaten_kota","pelabuhan","jenis_kapal","jenis_alat_tangkap","wpp","jenis_ikan","tahun","volume_produksi","nilai_produksi","harga_per_kg"
"Non Pelabuhan","ACEH","SIMEULUE","","KM_0005","Bagan Berperahu","WPP-RI-572","TERIPANG","2019","144764","18318530000","126540.64546434"
"Non Pelabuhan","ACEH","SIMEULUE","","KM_0005","Pancing Ulur","WPP-RI-572","TERIPANG","2019","6763","855760000","126535.56114151"
"Non Pelabuhan","ACEH","ACEH SINGKIL","","KM_0005","Tombak","WPP-RI-572","TERIPANG","2019","9120","4204800000","461052.63157895"
"Non Pelabuhan","ACEH","SIMEULUE","","KM_0005_0010","Pancing Ulur","WPP-RI-572","TERIPANG","2019","3093","391385000","126538.95893954"
"Non Pelabuhan","ACEH","SIMEULUE","","MT_0005","Panah","WPP-RI-572","TERIPANG","2019","13662","1728840000","126543.69784805"
"Non Pelabuhan","ACEH","SIMEULUE","","MT_0005","Pancing Ulur","WPP-RI-572","TERIPANG","2019","113081","14309345000","126540.66554063"
"Non Pelabuhan","ACEH","SIMEULUE","","NTP","Jaring Insang Berpancang","WPP-RI-572","TERIPANG","2019","476","60220000","126512.60504202"
"Non Pelabuhan","ACEH","SIMEULUE","","NTP","Pukat Tarik Pantai","WPP-RI-572","TERIPANG","2019","957","121065000","126504.70219436"
"Non Pelabuhan","KALIMANTAN TIMUR","KOTA BONTANG","","KM_0005","Tombak","WPP-RI-713","TERIPANG","2019","5642","310310000","55000"
"Non Pelabuhan","KALIMANTAN TIMUR","KOTA BONTANG","","MT_0005","Tombak","WPP-RI-713","TERIPANG","2019","48841","2686255000","55000"
"Non Pelabuhan","KALIMANTAN TIMUR","KUTAI TIMUR","","NTP","Ladung","WPP-RI-713","TERIPANG","2019","65696","985440000","15000"
"Non Pelabuhan","KALIMANTAN TIMUR","KOTA BONTANG","","NTP","Tombak","WPP-RI-713","TERIPANG","2019","16433","903815000","55000"
"Non Pelabuhan","KALIMANTAN TIMUR","KUTAI TIMUR","","PTM","Ladung","WPP-RI-713","TERIPANG","2019","37784","566760000","15000"
"Non Pelabuhan","KALIMANTAN TIMUR","KOTA BONTANG","","PTM","Tombak","WPP-RI-713","TERIPANG","2019","303","16665000","55000"
"Non Pelabuhan","JAWA TIMUR","SUMENEP","","KM_0005_0010","Ladung","WPP-RI-712","TERIPANG","2019","540833","100500090000","185824.62608606"
"Non Pelabuhan","JAWA TIMUR","SUMENEP","","KM_0010_0020","Ladung","WPP-RI-712","TERIPANG","2019","811249","150750390000","185825.05494614"
"Non Pelabuhan","LAMPUNG","PESAWARAN","","MT_0005","Tombak","WPP-RI-572","TERIPANG","2019","1404","49140000","35000"
"Non Pelabuhan","GORONTALO","BOALEMO","","MT_0005","Tombak","WPP-RI-715","TERIPANG","2019","140658","17298895000","122985.50384621"
"Non Pelabuhan","LAMPUNG","PESAWARAN","","NTP","Tombak","WPP-RI-572","TERIPANG","2019","360","12600000","35000"
"Non Pelabuhan","GORONTALO","GORONTALO UTARA","","PTM","Panah","WPP-RI-716","TERIPANG","2019","7195","878275000","122067.40792217"
"Non Pelabuhan","LAMPUNG","PESAWARAN","","PTM","Tombak","WPP-RI-572","TERIPANG","2019","536","18760000","35000"
"Non Pelabuhan","MALUKU","KEPULAUAN ARU","","KM_0005","Bagan Tancap","WPP-RI-718","TERIPANG","2019","42700","12810000000","300000"
"Non Pelabuhan","NUSA TENGGARA TIMUR","KOTA KUPANG","","KM_0005","Tombak","WPP-RI-573","TERIPANG","2019","520","78000000","150000"
"Non Pelabuhan","NUSA TENGGARA TIMUR","KOTA KUPANG","","KM_0005_0010","Tombak","WPP-RI-573","TERIPANG","2019","520","78000000","150000"
"Non Pelabuhan","MALUKU","KEPULAUAN ARU","","MT_0005_0010","Penggaruk Berkapal","WPP-RI-718","TERIPANG","2019","234485","70345500000","300000"
"Non Pelabuhan","NUSA TENGGARA TIMUR","SUMBA TIMUR","","NTP","Tombak","WPP-RI-573","TERIPANG","2019","4328","87107362","20126.469963031"
"Non Pelabuhan","MALUKU","KEPULAUAN ARU","","PTM","Ladung","WPP-RI-718","TERIPANG","2019","537797","161339000000","299999.81405623"
"Non Pelabuhan","NUSA TENGGARA TIMUR","ROTE NDAO","","PTM","Tombak","WPP-RI-573","TERIPANG","2019","32054","9352300000","291767.01815686"
"Non Pelabuhan","PAPUA BARAT","SORONG","","MT_0005","Bubu","WPP-RI-715","TERIPANG","2019","33747","9280425000","275000"
"Non Pelabuhan","PAPUA BARAT","SORONG","","MT_0005_0010","Bubu","WPP-RI-715","TERIPANG","2019","17356","4772900000","275000"
"Non Pelabuhan","PAPUA BARAT","SORONG","","MT_0005","Bubu","WPP-RI-715","TERIPANG","2020","68723","18898825000","275000"
"Non Pelabuhan","PAPUA BARAT","SORONG","","KM_0005","Bubu","WPP-RI-715","TERIPANG","2021","7520","2068000000","275000"
"Non Pelabuhan","PAPUA BARAT","SORONG","","MT_0005","Bubu","WPP-RI-715","TERIPANG","2021","13354","3672350000","275000"
"Non Pelabuhan","PAPUA","KEPULAUAN YAPEN","","MT_0005","Tonda","WPP-RI-717","TERIPANG","2021","2300","69000000","30000"
"Non Pelabuhan","PAPUA BARAT","SORONG","","PTM","Bubu","WPP-RI-715","TERIPANG","2021","4170","1146750000","275000"
"Non Pelabuhan","PAPUA BARAT","SORONG","","KM_0005","Bubu","WPP-RI-715","TERIPANG","2022","4930","1282000000","260040.56795132"
"Non Pelabuhan","PAPUA BARAT","SORONG","","MT_0005","Bubu","WPP-RI-715","TERIPANG","2022","7600","2053000000","270131.57894737"
"Non Pelabuhan","SUMATERA BARAT","KEPULAUAN MENTAWAI","","MT_0005","Jaring Insang Berpancang","WPP-RI-572","TERIPANG","2019","65","5850000","90000"
"Non Pelabuhan","SUMATERA BARAT","KEPULAUAN MENTAWAI","","NTP","Tombak","WPP-RI-572","TERIPANG","2019","48290","4636070000","96004.762890868"
"Pelabuhan","SUMATERA BARAT","KOTA PADANG","PP. Bungus","KM_0010_0020","Bubu","WPP-RI-572","TERIPANG","2019","42","9350000","222619.04761905"
"Non Pelabuhan","SUMATERA UTARA","NIAS SELATAN","","KM_0005","Tombak","WPP-RI-572","TERIPANG","2020","3362","227327000","67616.597263534"
"Non Pelabuhan","SUMATERA BARAT","KEPULAUAN MENTAWAI","","NTP","Seser","WPP-RI-572","TERIPANG","2020","17677","1767700000","100000"
"Non Pelabuhan","SUMATERA BARAT","KEPULAUAN MENTAWAI","","NTP","Tombak","WPP-RI-572","TERIPANG","2020","129525","12952500000","100000"
"Non Pelabuhan","SUMATERA UTARA","NIAS SELATAN","","NTP","Tombak","WPP-RI-572","TERIPANG","2020","16640","911417000","54772.65625"
"Non Pelabuhan","SUMATERA UTARA","NIAS SELATAN","","PTM","Tombak","WPP-RI-572","TERIPANG","2020","29408","1584766000","53888.941784548"
"Pelabuhan","SUMATERA BARAT","KOTA PADANG","PP. Bungus","KM_0010_0020","Bubu","WPP-RI-572","TERIPANG","2020","29","6050000","208620.68965517"
"Non Pelabuhan","SUMATERA UTARA","NIAS SELATAN","","KM_0005","Bagan Berperahu","WPP-RI-572","TERIPANG","2021","894","65910000","73724.832214765"
"Non Pelabuhan","SUMATERA UTARA","KOTA SIBOLGA","","KM_0005","Bubu","WPP-RI-572","TERIPANG","2021","4350","152250000","35000"
"Non Pelabuhan","SUMATERA UTARA","NIAS SELATAN","","KM_0005","Tombak","WPP-RI-572","TERIPANG","2021","9533","666175000","69880.939893003"
"Non Pelabuhan","SUMATERA UTARA","NIAS SELATAN","","KM_0005_0010","Bagan Berperahu","WPP-RI-572","TERIPANG","2021","480","72000000","150000"
"Non Pelabuhan","SUMATERA UTARA","KOTA SIBOLGA","","KM_0005_0010","Bubu","WPP-RI-572","TERIPANG","2021","980","34300000","35000"
"Non Pelabuhan","SUMATERA UTARA","NIAS SELATAN","","KM_0005_0010","Tombak","WPP-RI-572","TERIPANG","2021","3888","312720000","80432.098765432"
"Non Pelabuhan","SUMATERA UTARA","NIAS SELATAN","","MT_0005","Bagan Berperahu","WPP-RI-572","TERIPANG","2021","85","5260000","61882.352941176"
"Non Pelabuhan","SUMATERA UTARA","NIAS SELATAN","","MT_0005","Tombak","WPP-RI-572","TERIPANG","2021","2826","209550000","74150.743099788"
"Non Pelabuhan","SUMATERA UTARA","NIAS SELATAN","","NTP","Bagan Tancap","WPP-RI-572","TERIPANG","2021","100","5500000","55000"
"Non Pelabuhan","SUMATERA UTARA","NIAS SELATAN","","NTP","Jala Tebar","WPP-RI-572","TERIPANG","2021","11971","538695000","45000"
"Non Pelabuhan","SUMATERA BARAT","KEPULAUAN MENTAWAI","","NTP","Tombak","WPP-RI-572","TERIPANG","2021","103480","10348000000","100000"
"Non Pelabuhan","SUMATERA UTARA","NIAS SELATAN","","NTP","Tombak","WPP-RI-572","TERIPANG","2021","3480","166000000","47701.149425287"
"Non Pelabuhan","SUMATERA UTARA","NIAS SELATAN","","PTM","Bagan Berperahu","WPP-RI-572","TERIPANG","2021","544","76100000","139889.70588235"
"Non Pelabuhan","SUMATERA UTARA","NIAS SELATAN","","PTM","Tombak","WPP-RI-572","TERIPANG","2021","16139","1074025000","66548.42307454"
"Pelabuhan","SUMATERA BARAT","KEPULAUAN MENTAWAI","PP. Sikakap","MT_0005_0010","Seser","WPP-RI-572","TERIPANG","2021","1312","262400000","200000"
"Non Pelabuhan","SUMATERA UTARA","NIAS SELATAN","","KM_0005","Tombak","WPP-RI-572","TERIPANG","2022","58092","5185587000","89265.079529023"
"Non Pelabuhan","SUMATERA UTARA","NIAS SELATAN","","KM_0005_0010","Tombak","WPP-RI-572","TERIPANG","2022","19428","1991825000","102523.41980646"
"Non Pelabuhan","SUMATERA UTARA","NIAS SELATAN","","KM_0010_0020","Tombak","WPP-RI-572","TERIPANG","2022","8007","560490000","70000"
"Non Pelabuhan","SUMATERA UTARA","NIAS SELATAN","","KM_0020_0030","Tombak","WPP-RI-572","TERIPANG","2022","8330","774050000","92923.169267707"
"Non Pelabuhan","SUMATERA UTARA","NIAS SELATAN","","MT_0005","Tombak","WPP-RI-572","TERIPANG","2022","2761","134375000","48668.96052155"
"Non Pelabuhan","SUMATERA BARAT","KEPULAUAN MENTAWAI","","NTP","Seser","WPP-RI-572","TERIPANG","2022","41444","1657760000","40000"
"Non Pelabuhan","SUMATERA BARAT","KEPULAUAN MENTAWAI","","NTP","Tombak","WPP-RI-572","TERIPANG","2022","296497","19252845000","64934.366958182"
"Non Pelabuhan","SUMATERA UTARA","NIAS SELATAN","","NTP","Tombak","WPP-RI-572","TERIPANG","2022","997","61690000","61875.626880642"
"Non Pelabuhan","SUMATERA UTARA","NIAS SELATAN","","PTM","Tombak","WPP-RI-572","TERIPANG","2022","1106","38710000","35000"
"Pelabuhan","SUMATERA BARAT","KEPULAUAN MENTAWAI","PP. Sikakap","MT_0005_0010","Seser","WPP-RI-572","TERIPANG","2022","1490","188000000","126174.4966443"
"Pelabuhan","SUMATERA BARAT","KEPULAUAN MENTAWAI","PP. Sikakap","PTM","Tombak","WPP-RI-572","TERIPANG","2022","330","33000000","100000"
"Non Pelabuhan","SULAWESI SELATAN","WAJO","","KM_0005","Bagan Berperahu","WPP-RI-713","TERIPANG","2019","11200","896000000","80000"
"Non Pelabuhan","SULAWESI SELATAN","LUWU","","KM_0005","Bubu","WPP-RI-713","TERIPANG","2019","600","7200000","12000"
"Non Pelabuhan","SULAWESI SELATAN","KEPULAUAN SELAYAR","","KM_0005","Ladung","WPP-RI-713","TERIPANG","2019","79700","6051526658","75928.816286073"
"Non Pelabuhan","SULAWESI SELATAN","SINJAI","","KM_0005","Penggaruk Berkapal","WPP-RI-713","TERIPANG","2019","23100","1501500000","65000"
"Non Pelabuhan","SULAWESI SELATAN","PANGKAJENE KEPULAUAN","","KM_0005","Penggaruk Tanpa Kapal","WPP-RI-713","TERIPANG","2019","60420","22657500000","375000"
"Non Pelabuhan","SULAWESI BARAT","MAJENE","","KM_0005","Tombak","WPP-RI-713","TERIPANG","2019","188625","23180250000","122890.65606362"
"Non Pelabuhan","SULAWESI SELATAN","WAJO","","KM_0005_0010","Bagan Berperahu","WPP-RI-713","TERIPANG","2019","9800","784000000","80000"
"Non Pelabuhan","SULAWESI SELATAN","KEPULAUAN SELAYAR","","KM_0005_0010","Ladung","WPP-RI-713","TERIPANG","2019","51300","4069938542","79336.033957115"
"Non Pelabuhan","SULAWESI SELATAN","KOTA MAKASSAR","","KM_0005_0010","Penggaruk Berkapal","WPP-RI-713","TERIPANG","2019","139000","18070000000","130000"
"Non Pelabuhan","SULAWESI TENGAH","POSO","","MT_0005","Bagan Tancap","WPP-RI-715","TERIPANG","2019","300","21000000","70000"
"Non Pelabuhan","SULAWESI TENGAH","TOLI TOLI","","MT_0005","Bubu","WPP-RI-713","TERIPANG","2019","28500","427500000","15000"
"Non Pelabuhan","SULAWESI TENGAH","BANGGAI KEPULAUAN","","MT_0005","Bubu","WPP-RI-714","TERIPANG","2019","63800","2690047872","42163.759749216"
"Non Pelabuhan","SULAWESI SELATAN","KEPULAUAN SELAYAR","","MT_0005","Ladung","WPP-RI-713","TERIPANG","2019","25700","2025957702","78831.038988327"
"Non Pelabuhan","SULAWESI TENGAH","PARIGI MOUTONG","","MT_0005","Pancing Ulur","WPP-RI-715","TERIPANG","2019","12800","128000000","10000"
"Non Pelabuhan","SULAWESI TENGAH","POSO","","MT_0005","Pancing Ulur","WPP-RI-715","TERIPANG","2019","11320","792400000","70000"
"Non Pelabuhan","SULAWESI SELATAN","PANGKAJENE KEPULAUAN","","MT_0005","Penggaruk Tanpa Kapal","WPP-RI-713","TERIPANG","2019","73900","18475000000","250000"
"Non Pelabuhan","SULAWESI TENGAH","PARIGI MOUTONG","","MT_0005","Pukat Tarik Pantai","WPP-RI-715","TERIPANG","2019","1900","19000000","10000"
"Non Pelabuhan","SULAWESI TENGAH","POSO","","MT_0005","Rawai Dasar","WPP-RI-715","TERIPANG","2019","762","53340000","70000"
"Non Pelabuhan","SULAWESI TENGAH","TOJO UNA UNA","","MT_0005","Tombak","WPP-RI-715","TERIPANG","2019","2500","55250000","22100"
"Non Pelabuhan","SULAWESI TENGAH","POSO","","MT_0005","Tonda","WPP-RI-715","TERIPANG","2019","1760","123200000","70000"
"Non Pelabuhan","SULAWESI TENGAH","POSO","","PTM","Pancing Ulur","WPP-RI-715","TERIPANG","2019","8360","585200000","70000"
"Non Pelabuhan","SULAWESI TENGAH","POSO","","PTM","Pukat Labuh","WPP-RI-715","TERIPANG","2019","977","68390000","70000"
"Non Pelabuhan","SULAWESI TENGAH","POSO","","PTM","Tombak","WPP-RI-715","TERIPANG","2019","4600","322000000","70000"
"Non Pelabuhan","SULAWESI TENGGARA","BUTON TENGAH","","MT_0005","Tombak","WPP-RI-714","TERIPANG","2019","9527","308995000","32433.609740737"
"Non Pelabuhan","SULAWESI UTARA","KEPULAUAN TALAUD","","NTP","Penggaruk Tanpa Kapal","WPP-RI-716","TERIPANG","2019","5400","69500000","12870.37037037"
"Non Pelabuhan","SULAWESI TENGGARA","KOLAKA","","NTP","Tombak","WPP-RI-713","TERIPANG","2019","7142","2142600000","300000"
"Non Pelabuhan","SULAWESI TENGGARA","BUTON","","NTP","Tombak","WPP-RI-714","TERIPANG","2019","42379","1271370000","30000"
"Non Pelabuhan","SULAWESI TENGGARA","BUTON TENGAH","","NTP","Tombak","WPP-RI-714","TERIPANG","2019","2373","74715000","31485.461441214"
"Non Pelabuhan","SULAWESI TENGGARA","BUTON TENGAH","","PTM","Tombak","WPP-RI-714","TERIPANG","2019","23235","742980000","31976.759199484"
"Non Pelabuhan","SULAWESI TENGGARA","MUNA BARAT","","MT_0005","Penggaruk Tanpa Kapal","WPP-RI-714","TERIPANG","2020","727819","400300000000","549999.38171441"
"Non Pelabuhan","SULAWESI TENGGARA","BUTON TENGAH","","MT_0005","Tombak","WPP-RI-714","TERIPANG","2020","12837","256740000","20000"
"Non Pelabuhan","SULAWESI UTARA","KEPULAUAN TALAUD","","NTP","Penggaruk Tanpa Kapal","WPP-RI-716","TERIPANG","2020","5461","70200000","12854.788500275"
"Non Pelabuhan","SULAWESI TENGGARA","BUTON TENGAH","","NTP","Tombak","WPP-RI-714","TERIPANG","2020","600","12000000","20000"
"Non Pelabuhan","SULAWESI TENGGARA","BUTON TENGAH","","PTM","Tombak","WPP-RI-714","TERIPANG","2020","2358","47160000","20000"
"Non Pelabuhan","SULAWESI TENGGARA","MUNA BARAT","","MT_0005","Penggaruk Berkapal","WPP-RI-714","TERIPANG","2021","71726","38467500000","536311.79767448"
"Non Pelabuhan","SULAWESI TENGGARA","BUTON TENGAH","","MT_0005","Tombak","WPP-RI-714","TERIPANG","2021","1000","30000000","30000"
"Non Pelabuhan","SULAWESI TENGGARA","KONAWE SELATAN","","MT_0005","Tombak","WPP-RI-714","TERIPANG","2021","2454","1122400000","457375.71312143"
"Non Pelabuhan","SULAWESI UTARA","KEPULAUAN TALAUD","","NTP","Penggaruk Tanpa Kapal","WPP-RI-716","TERIPANG","2021","3741","61527300","16446.752205293"
"Non Pelabuhan","SULAWESI TENGGARA","KONAWE KEPULAUAN","","NTP","Tombak","WPP-RI-714","TERIPANG","2021","1629","283710000","174162.0626151"
"Non Pelabuhan","SULAWESI TENGGARA","KONAWE SELATAN","","NTP","Tombak","WPP-RI-714","TERIPANG","2021","121","45500000","376033.05785124"
"Non Pelabuhan","SULAWESI UTARA","KEPULAUAN TALAUD","","NTP","Tombak","WPP-RI-716","TERIPANG","2021","96","1592381","16587.302083333"
"Non Pelabuhan","SULAWESI TENGGARA","KONAWE KEPULAUAN","","PTM","Tombak","WPP-RI-714","TERIPANG","2021","2159","368770000","170805.92867068"
"Non Pelabuhan","SULAWESI TENGGARA","KONAWE SELATAN","","PTM","Tombak","WPP-RI-714","TERIPANG","2021","710","251700000","354507.04225352"
"Non Pelabuhan","SULAWESI TENGGARA","MUNA BARAT","","MT_0005","Penggaruk Tanpa Kapal","WPP-RI-714","TERIPANG","2022","215208","12912480000","60000"
"Non Pelabuhan","SULAWESI TENGGARA","KONAWE SELATAN","","MT_0005","Tombak","WPP-RI-714","TERIPANG","2022","5280","2210700000","418693.18181818"
"Non Pelabuhan","SULAWESI UTARA","KEPULAUAN TALAUD","","NTP","Penggaruk Tanpa Kapal","WPP-RI-716","TERIPANG","2022","3741","61527300","16446.752205293"
"Non Pelabuhan","SULAWESI TENGGARA","KONAWE","","NTP","Tombak","WPP-RI-714","TERIPANG","2022","4720","472000000","100000"
"Non Pelabuhan","SULAWESI TENGGARA","KONAWE KEPULAUAN","","NTP","Tombak","WPP-RI-714","TERIPANG","2022","1940","77600000","40000"
"Non Pelabuhan","SULAWESI TENGGARA","KONAWE SELATAN","","NTP","Tombak","WPP-RI-714","TERIPANG","2022","1981","659975000","333152.44825846"
"Non Pelabuhan","SULAWESI UTARA","KEPULAUAN TALAUD","","NTP","Tombak","WPP-RI-716","TERIPANG","2022","96","1592381","16587.302083333"
"Non Pelabuhan","SULAWESI TENGGARA","KONAWE KEPULAUAN","","PTM","Tombak","WPP-RI-714","TERIPANG","2022","1259","50360000","40000"
"Non Pelabuhan","SULAWESI TENGGARA","KONAWE SELATAN","","PTM","Tombak","WPP-RI-714","TERIPANG","2022","2480","857850000","345907.25806452"
"Non Pelabuhan","SULAWESI SELATAN","WAJO","","KM_0005","Bagan Berperahu","WPP-RI-713","TERIPANG","2020","3200","256000000","80000"
"Non Pelabuhan","SULAWESI SELATAN","WAJO","","KM_0005","Bubu","WPP-RI-713","TERIPANG","2020","18200","1456000000","80000"
"Non Pelabuhan","SULAWESI SELATAN","KEPULAUAN SELAYAR","","KM_0005","Ladung","WPP-RI-713","TERIPANG","2020","60000","4374778878","72912.9813"
"Non Pelabuhan","SULAWESI SELATAN","SINJAI","","KM_0005","Penggaruk Berkapal","WPP-RI-713","TERIPANG","2020","10100","602500000","59653.465346535"
"Non Pelabuhan","SULAWESI SELATAN","WAJO","","KM_0005_0010","Bagan Berperahu","WPP-RI-713","TERIPANG","2020","6600","528000000","80000"
"Non Pelabuhan","SULAWESI SELATAN","KEPULAUAN SELAYAR","","KM_0005_0010","Ladung","WPP-RI-713","TERIPANG","2020","2200","160137664","72789.847272727"
